"","ID","Type","Date","Season","Latitude","Longitude","Half","Two","TwoVeg","DeadVegManual","SR","IP","BS","WO","SL","Viewshed","Pioneer_Builders","Secondary_Stabilizers","Pioneer_Stabilizers","NonVeg","PairID","Object","Object_Type","Viewshed_sc","SeasonN","Outcome","PointID"
"1",6,"Nest",2024-04-25,"Nesting",36.73584,-121.80467,7,1,0.4,0.4,0,0.4,0,0.4,0.1,300,0,0.4,0,0.6,"sx 6","Present","Vegetation",0.833333333333333,1,1,"sx 6Nest"
"2",3,"Nest",2024-04-25,"Nesting",36.73632,-121.80431,5,5,2,1.8,0.25,1.75,0,2,0,360,0.25,1.75,0,3,"sx 3","Present","Vegetation",1,1,1,"sx 3Nest"
"3",12,"Nest",2024-04-25,"Nesting",36.73862,-121.80415,45,25,25,2.5,10,0,7.5,0,0,360,10,10,7.5,1.25,"sx 12","Present","Vegetation",1,1,1,"sx 12Nest"
"4",20,"Nest",2024-04-25,"Nesting",36.74001,-121.803616,10,15,15,0,1.5,0,9,0,0,360,1.5,4.5,9,0,"sx 20","Present","Vegetation",1,1,1,"sx 20Nest"
"5",9,"Nest",2024-04-25,"Nesting",36.7394,-121.80366,5,5,2,1.6,0.75,1.25,0,1,0,360,0.75,1.25,0,3,"sx 9","Present","Vegetation",1,1,1,"sx 9Nest"
"6",8,"Nest",2024-04-25,"Nesting",36.73906,-121.80362,10,5,0,0,0,0,0,4.75,0,360,0,0,0,5,"sx 8","Present","Non-veg Wood or Shell",1,1,1,"sx 8Nest"
"7",1,"Nest",2024-04-25,"Nesting",36.74317,-121.80336,5,1,0.9,0.855,0.05,0.85,0,0.05,0,360,0.05,0.85,0,0.1,"sx 1","Present","Vegetation",1,1,1,"sx 1Nest"
"8",19,"Nest",2024-04-25,"Nesting",36.74412,-121.80419,10,5,0.5,0,0.5,0,0,4.25,0,360,0.5,0,0,4.5,"sx 19","Present","Non-veg Wood or Shell",1,1,1,"sx 19Nest"
"9",40,"Nest",2024-06-07,"Nesting",36.74774,-121.80337,30,30,20,0,9,0,12,9,0,300,9,0,12,9,"sx 40","Present","Non-veg Wood or Shell",0.833333333333333,1,1,"sx 40Nest"
"10",36,"Nest",2024-06-07,"Nesting",36.74445,-121.80415,5,5,2,0.3,2,0,0,2.75,0,360,2,0,0,3,"sx 36","Present","Non-veg Wood or Shell",1,1,1,"sx 36Nest"
"11",25,"Nest",2024-06-07,"Nesting",36.74403,-121.80338,5,1,0.05,0.025,0.025,0.025,0,0.95,0,360,0.025,0.025,0,0.95,"sx 25","Present","Non-veg Wood or Shell",1,1,1,"sx 25Nest"
"12",31,"Nest",2024-06-07,"Nesting",36.74322,-121.80336,10,5,2.5,1.25,2,0.5,0,2.5,0,360,2,0.5,0,2.5,"sx 31","Present","Non-veg Wood or Shell",1,1,1,"sx 31Nest"
"13",37,"Nest",2024-06-07,"Nesting",36.74214,-121.80363,35,30,25.5,1.275,0,1.5,0,3,1.5,360,0,25.5,0,4.5,"sx 37","Present","Non-veg Wood or Shell",1,1,1,"sx 37Nest"
"14",27,"Nest",2024-06-07,"Nesting",36.74112,-121.80338,5,1,1,1,0,1,0,0,0,360,0,1,0,0,"sx 27","Present","Vegetation",1,1,1,"sx 27Nest"
"15",29,"Nest",2024-06-07,"Nesting",36.73836,-121.80413,10,10,7,2.1,6,1,0,3,0,300,6,1,0,3,"sx 29","Absent","None",0.833333333333333,1,1,"sx 29Nest"
"16",41,"Nest",2024-06-14,"Nesting",36.7359,-121.80469,5,5,2.5,2.5,0,2.5,0,0,1.25,300,0,2.5,0,2.5,"sx 41","Present","Vegetation",0.833333333333333,1,1,"sx 41Nest"
"17",51,"Nest",2024-06-14,"Nesting",36.735847,-121.804217,10,5,2.5,2.5,0,2.5,0,2.5,0,360,0,2.5,0,2.5,"sx 51","Present","Non-veg Wood or Shell",1,1,1,"sx 51Nest"
"18",43,"Nest",2024-06-14,"Nesting",36.73657,-121.80362,10,10,7,0,2,0,0,2,0,330,2,6,0,2,"sx 43","Present","Vegetation",0.916666666666667,1,1,"sx 43Nest"
"19",53,"Nest",2024-06-14,"Nesting",36.736355,-121.804043,5,1,0.85,0,0.85,0,0,0.15,0,360,0.85,0,0,0.15,"sx 53","Absent","None",1,1,1,"sx 53Nest"
"20",44,"Nest",2024-06-14,"Nesting",36.73729,-121.80318,5,1,0.7,0.7,0.1,0.6,0,0.3,0,360,0.1,0.6,0,0.3,"sx 44","Present","Non-veg Wood or Shell",1,1,1,"sx 44Nest"
